annee,specialisation,indicateur
1989,generaliste,1
1990,generaliste,1.012
1991,generaliste,0.968
1992,generaliste,0.946
1993,generaliste,1.009
1994,generaliste,0.973
1995,generaliste,0.925
1996,generaliste,0.961
1997,generaliste,0.937
1998,generaliste,0.902
1999,generaliste,0.871
2000,generaliste,0.876
2001,generaliste,0.919
1989,milieux forestiers,1
1990,milieux forestiers,1.085
1991,milieux forestiers,0.957
1992,milieux forestiers,0.883
1993,milieux forestiers,0.874
1994,milieux forestiers,0.854
1995,milieux forestiers,0.843
1996,milieux forestiers,0.839
1997,milieux forestiers,0.812
1998,milieux forestiers,0.823
1999,milieux forestiers,0.832
2000,milieux forestiers,0.806
2001,milieux forestiers,0.797
1989,milieux agricoles,1
1990,milieux agricoles,0.933
1991,milieux agricoles,0.746
1992,milieux agricoles,0.834
1993,milieux agricoles,0.746
1994,milieux agricoles,0.778
1995,milieux agricoles,0.747
1996,milieux agricoles,0.742
1997,milieux agricoles,0.82
1998,milieux agricoles,0.795
1999,milieux agricoles,0.695
2000,milieux agricoles,0.704
2001,milieux agricoles,0.727
1989,milieux batis,1
1990,milieux batis,0.917
1991,milieux batis,1.027
1992,milieux batis,0.902
1993,milieux batis,0.883
1994,milieux batis,0.93
1995,milieux batis,0.788
1996,milieux batis,0.775
1997,milieux batis,0.794
1998,milieux batis,0.832
1999,milieux batis,0.77
2000,milieux batis,0.799
2001,milieux batis,0.729
1989,toutes espèces,1
1990,toutes espèces,0.992
1991,toutes espèces,0.906
1992,toutes espèces,0.885
1993,toutes espèces,0.863
1994,toutes espèces,0.869
1995,toutes espèces,0.82
1996,toutes espèces,0.821
1997,toutes espèces,0.835
1998,toutes espèces,0.832
1999,toutes espèces,0.786
2000,toutes espèces,0.788
2001,toutes espèces,0.786
